,token,first_seen,last_seen,tx_count,total_value,max_value_in_tx
0,$MEW (t.me/m...),2021-03-15 22:31:29.152,2021-03-15 22:31:50.142,2,1.1726849167290736,1.0
1,$SHOT ($SHOT),2021-03-22 07:30:40.398,2021-03-22 07:30:40.398,1,204.0,204.0
2,"$TREK, Take ... (TREK)",2021-03-21 17:20:59.011,2021-03-21 17:20:59.011,1,550.0,550.0
3,(),2021-03-10 14:31:23.877,2021-03-22 07:58:18.691,68,5.533533822468429e+26,1e+26
4,0x1 LP Token (BINLP),2021-03-10 19:10:08.728,2021-03-10 19:10:53.429,2,0.2620959687,0.25
5,0x1 Token (BIN),2021-03-10 20:45:32.667,2021-03-16 23:02:40.538,4,5.843411387,4.95
6,0xMoon (0xMOON),2021-03-21 15:18:51.033,2021-03-21 15:18:51.033,1,9850645471.310944,9850645471.310944
7,0xzx Token (0xzx),2021-03-18 15:50:19.194,2021-03-18 15:50:19.194,1,10.0,10.0
8,11 Cake ALPA... (11ALPA...),2021-03-11 03:05:31.670,2021-03-22 13:08:30.486,5,52.60205670033981,40.1868318822
9,11 Cake BTCS... (11BTCS...),2021-03-14 15:46:49.712,2021-03-14 15:46:49.712,1,0.018406300100000002,0.018406300100000002
10,11 Cake OG-B... (11OG),2021-03-10 15:13:59.855,2021-03-10 15:13:59.855,1,3.195e-07,3.195e-07
11,11 Wault WAU... (11WAUL...),2021-03-22 13:05:03.468,2021-03-22 13:17:28.107,2,5.2139437405,5.2139437405
12,1INCH Token (1INCH),2021-03-10 14:28:50.261,2021-03-22 13:20:24.688,415,103437.3774130903,40968.1211384002
13,1INCH Token ... (st1INC...),2021-03-10 15:59:41.612,2021-03-22 13:17:21.212,65,47757.09160743622,16228.7779613221
14,1inch Liquid... (1LP-CH...),2021-03-14 16:33:50.021,2021-03-14 16:33:50.021,1,177.5591163937,177.5591163937
15,1inch Liquid... (1LP-ET...),2021-03-10 15:13:36.008,2021-03-22 13:15:51.796,87,21457.24734782211,10853.189680641
16,1nSwapToken (1nST),2021-03-14 13:24:31.151,2021-03-14 13:24:31.151,1,0.0,0.0
17,37meetup tok... (37meet...),2021-03-14 14:12:10.897,2021-03-21 05:06:11.043,3,12.0,5.0
18,456 (456),2021-03-20 16:49:53.300,2021-03-20 16:49:53.300,1,4000.0,4000.0
19,888 DAO (888),2021-03-16 18:55:34.674,2021-03-20 12:44:54.104,2,0.5283569939,0.5283226648
20,8Swap (8EX),2021-03-19 02:01:23.723,2021-03-19 02:01:23.723,1,100000.0,100000.0
21,ACC (ACC),2021-03-20 16:49:05.714,2021-03-22 13:09:16.010,21,134.52754489470001,21.7455382811
22,ACF (ACF),2021-03-21 21:25:36.942,2021-03-22 01:30:37.269,2,16.1083621914,9.0690863898
23,ACG (ACG),2021-03-22 07:36:12.642,2021-03-22 11:41:24.517,8,672.302853,301.675626
24,ACoconut Bri... (AC),2021-03-10 23:54:50.274,2021-03-10 23:54:50.274,1,8.1,8.1
25,ACryptoS (ACS),2021-03-10 15:12:11.585,2021-03-22 13:19:27.696,344,1316.754146199471,489.7749724703
26,ACryptoS ACr... (acsACS),2021-03-10 20:45:44.356,2021-03-22 13:13:15.206,27,9.75020603162971,1.717250702
27,ACryptoS ACr... (acsACS...),2021-03-10 16:48:17.919,2021-03-16 16:53:04.217,2,53.400860814,51.4515890725
28,ACryptoS BTC... (acsBTC...),2021-03-21 13:15:30.859,2021-03-21 13:15:30.859,1,0.0033628743,0.0033628743
29,ACryptoS BUS... (ACS4),2021-03-10 16:46:35.568,2021-03-22 07:37:03.650,16,156940.0532602413,45677.3181459125
30,ACryptoS BUS... (acsBUS...),2021-03-20 16:50:29.947,2021-03-20 16:50:29.947,1,14.8475107894,14.8475107894
31,ACryptoS Car... (acsADA),2021-03-10 15:59:23.858,2021-03-14 09:53:07.341,2,2093.2006639763,1394.5257734001
